CONTAINERNUMBER,ADDRESS,LATITUDE,LONGITUDE,FRACTION,COUNTER,FILLHEIGHT,DATE,TEMPERATURE
'2906','Aase gård - 5','58.8320800','5.7095367','Papir','101','2022','23.04.2019','17'
'2904','Aase gård - 5','58.8320800','5.7095367','Bio','71','2266','14.02.2019','13'
'2910','Aase gård - 5','58.8320800','5.7095367','Restavfall','207','1952','23.04.2019','19'
'3222','Aase gård - Rinda 22','58.8301250','5.7060183','Glass/metall','38','0','23.04.2019','19'
'1667','Aase gård - Rinda 22','58.8301250','5.7060183','Papir','66','2168','23.04.2019','19'
'1820','Aase gård - Rinda 22','58.8301250','5.7060183','Bio','60','1757','22.04.2019','19'
'1516','Aase gård - Rinda 22','58.8301250','5.7060183','Restavfall','116','1987','23.04.2019','21'
'2374','Aase Gård - Rinda 55','58.8310733','5.7071733','Restavfall','52','1174','23.04.2019','23'
'2370','Aase Gård - Rinda 55','58.8310733','5.7071733','Papir','72','2014','23.04.2019','21'
'2391','Aase Gård - Rinda 55','58.8310733','5.7071733','Bio','131','1759','23.04.2019','21'
'3680','Altona','58.8636627','5.7459016','Restavfall','108','1120','23.04.2019','41'
'3624','Altona','58.8636627','5.7459016','Papir','60','2360','23.04.2019','21'
'3631','Altona','58.8636627','5.7459016','Bio','37','2360','23.04.2019','23'
'3375','Amboltveien-1 Hommersåk','58.9302833','5.8554083','Restavfall','18','2360','23.04.2019',' '
'2546','Amboltveien-1 Hommersåk','58.9302833','5.8554083','Papir','69','1928','11.04.2019','19'
'2556','Amboltveien-1 Hommersåk','58.9302833','5.8554083','Bio','53','1961','12.04.2019','19'
'3733','Amboltveien-1 Hommersåk','58.9302833','5.8554083','Glass/metall','11','60','23.04.2019','17'
'2542','Amboltveien-2 Hommersåk','58.9310717','5.8555067','Restavfall','31','1737','16.04.2019','19'
'2555','Amboltveien-2 Hommersåk','58.9310717','5.8555067','Papir','84','1213','23.04.2019','19'
'2560','Amboltveien-2 Hommersåk','58.9310717','5.8555067','Bio','14','2062','22.04.2019','19'
'2562','Amboltveien-2 Hommersåk','58.9310717','5.8555067','Restavfall','7','2267','23.04.2019','21'
'1838','Amfi Madla miljøstasjon','58.9517350','5.6767500','Glass/metall','0','507','23.04.2019','9'
'2443','Amfi Madla miljøstasjon','58.9517350','5.6767500','Glass/metall','0','60','21.04.2019','9'
'2097','Amfi Madla miljøstasjon','58.9517350','5.6767500','Glass/metall','0','2360','23.04.2019','25'
'2907','Amfi Madla miljøstasjon','58.9517350','5.6767500','Glass/metall','0','1350','23.04.2019','23'
'3539','Amfi Madla miljøstasjon','58.9517350','5.6767500','Glass/metall','0','999','23.04.2019','21'
'2683','Amfi Madla miljøstasjon','58.9517350','5.6767500','Glass/metall','0','1097','20.04.2019','21'
'744','Amfi Madla miljøstasjon','58.9517350','5.6767500','Glass/metall','0','1635','23.04.2019','21'
'3317','Ankerhagen-Tananger','58.9354000','5.5859217','Restavfall','1','787','23.04.2019','21'
'3334','Ankerhagen-Tananger','58.9354000','5.5859217','Papir','1','1231','16.04.2019','17'
'3320','Ankerhagen-Tananger','58.9354000','5.5859217','Bio','0','993','23.04.2019','23'
'3358','Ankerhagen-Tananger','58.9354000','5.5859217','Glass/metall','1','2251','23.04.2019','17'
'1368','Ankerplassen','58.9883766','5.7319498','Papir','36','1495','23.04.2019',' '
'2400','Ankerplassen','58.9883766','5.7319498','Restavfall','164','756','23.04.2019','21'
'1786','Ankerplassen','58.9883766','5.7319498','Bio','32','1091','23.04.2019','19'
'3311','Anne Grimdalensvei-1','58.8667883','5.7357583','Papir','28','1594','23.04.2019','21'
'3354','Anne Grimdalensvei-1','58.8667883','5.7357583','Restavfall','24','2288','23.04.2019','21'
'3332','Anne Grimdalensvei-1','58.8667883','5.7357583','Restavfall','171','1361','23.04.2019','23'
'3346','Anne Grimdalensvei-1','58.8667883','5.7357583','Bio','32','2301','23.04.2019','21'
'3330','Anne Grimdalensvei-2','58.8671550','5.7341450','Restavfall','325','1417','23.04.2019','23'
'3312','Anne Grimdalensvei-2','58.8671550','5.7341450','Papir','83','1610','23.04.2019','23'
'3329','Anne Grimdalensvei-2','58.8671550','5.7341450','Restavfall','135','2321','23.04.2019','21'
'3502','Anne Grimdalensvei-2','58.8671550','5.7341450','Bio','30','2250','23.04.2019','21'
'3349','Anne Grimdalensvei-3','58.8672917','5.7327133','Restavfall','529','1366','23.04.2019','21'
'3337','Anne Grimdalensvei-3','58.8672917','5.7327133','Papir','78','1593','12.04.2019','23'
'3350','Anne Grimdalensvei-3','58.8672917','5.7327133','Bio','35','2186','23.04.2019',' '
'3338','Anne Grimdalensvei-3','58.8672917','5.7327133','Glass/metall','46','2321','23.04.2019','21'
'333','Anton Brøggers gate','58.9425316','5.6876602','Restavfall','0','1373','23.04.2019','19'
'1242','Anton Brøggers gate','58.9425316','5.6876602','Papir','42','1298','22.04.2019','17'
'2657','Anton Brøggers gate','58.9425316','5.6876602','Bio','86','2223','16.04.2019','13'
'3593','Asheimtunet-Asheimveien','58.8387918','5.7064495','Restavfall','93','2113','23.04.2019','17'
'3596','Asheimtunet-Asheimveien','58.8387918','5.7064495','Glass/metall','48','1996','23.04.2019','21'
'3598','Asheimtunet-Asheimveien','58.8387918','5.7064495','Bio','19','2259','22.04.2019','21'
'3588','Asheimtunet-Asheimveien','58.8387918','5.7064495','Papir','94','2120','23.04.2019','23'
'2365','Aspervika 1-Asperholen 15','58.8655100','5.7602133','Restavfall','383','1516','23.04.2019',' '
'2361','Aspervika 1-Asperholen 15','58.8655100','5.7602133','Papir','18','2030','23.04.2019','21'
'2372','Aspervika 1-Asperholen 15','58.8655100','5.7602133','Bio','332','2223','23.04.2019','19'
'1639','Aspervika 1-Asperholen 15','58.8655100','5.7602133','Restavfall','72','2266','23.04.2019',' '
'2385','Aspervika 2-Asperholen 85','58.8661117','5.7621800','Restavfall','122','1511','23.04.2019','1'
'2384','Aspervika 2-Asperholen 85','58.8661117','5.7621800','Papir','57','1541','23.04.2019','23'
'2395','Aspervika 2-Asperholen 85','58.8661117','5.7621800','Bio','303','2223','23.04.2019','21'
'2376','Aspervika 2-Asperholen 85','58.8661117','5.7621800','Glass/metall','203','2264','23.04.2019','23'
'1954','Aubeberget bh-Malthaug','58.9599500','5.6240400','Rest-næring','85','1792','23.04.2019','1'
'2838','Aubeberget bh-Malthaug','58.9599500','5.6240400','Papir-næring','18','1456','23.04.2019','15'
'429','Aubeberget bh-Skredbakka','58.9607700','5.6160600','Papir-næring','0','2240','23.04.2019','17'
'3785','Aubeberget bh-Skredbakka','58.9607700','5.6160600','Rest-næring','43','378','23.04.2019',' '
'2861','Auglend barnehage','58.9461000','5.7294717','Rest-næring','86','1880','22.04.2019','19'
'2862','Auglend barnehage','58.9461000','5.7294717','Papir-næring','49','1126','23.04.2019','19'
'1717','Auglend skole','58.9469400','5.7252900','Papir-næring','37','2360','23.04.2019',' '
'1738','Auglend skole','58.9469400','5.7252900','Rest-næring','64','1227','23.04.2019',' '
'2008','Auglend skole','58.9469400','5.7252900','Bio-næring','5','703','21.04.2019','1'
'3374','Austbø barnehage','58.7286417','5.6426850','Rest-næring','214','1389','23.04.2019','19'
'2563','Austbø barnehage','58.7286417','5.6426850','Papir-næring','129','2191','23.04.2019','17'
'2145','Austbø skole','58.9948212','5.7362923','Rest-næring','149','1507','22.04.2019','1'
'2106','Austbø skole','58.9948212','5.7362923','Papir-næring','76','2223','23.04.2019',' '
'1712','Austmarka-Vigrestad','58.5708580','5.6995883','Restavfall','70','1983','23.04.2019','17'
'1435','Austmarka-Vigrestad','58.5708580','5.6995883','Papir','62','1287','27.02.2019','15'
'1733','Austmarka-Vigrestad','58.5708580','5.6995883','Bio','91','2266','28.03.2019',' '
'1947','Austmarka-Vigrestad','58.5708580','5.6995883','Glass/metall','20','1422','23.04.2019','1'
'2868','Austrått miljøstasjon','58.8431150','5.7549717','Glass/metall','0','1420','23.04.2019','21'
'2902','Austrått miljøstasjon','58.8431150','5.7549717','Glass/metall','0','1428','23.04.2019','21'
'3101','Austrått Panorama - 1','58.8468285','5.7508650','Papir','58','1847','23.04.2019','19'
'3109','Austrått Panorama - 1','58.8468285','5.7508650','Bio','225','1469','23.04.2019','19'
'3581','Austrått Panorama - 1','58.8468285','5.7508650','Restavfall','177','1530','23.04.2019','19'
'1671','Austrått Panorama - 2','58.8476143','5.7498498','Restavfall','117','1135','23.04.2019','21'
'2955','Austrått Panorama - 2','58.8476143','5.7498498','Papir','50','2015','23.04.2019','21'
'2117','Austrått Panorama - 2','58.8476143','5.7498498','Bio','262','1390','23.04.2019','1'
'3069','Austråtthallen','58.8430067','5.7549717','Rest-næring','13','1981','23.04.2019','21'
'3061','Austråtthallen','58.8430067','5.7549717','Papir-næring','11','1518','21.04.2019','21'
'2882','Badedammen 1','58.9730683','5.7497250','Papir','0','2110','23.04.2019','11'
'2879','Badedammen 1','58.9730683','5.7497250','Glass/metall','0','2360','23.04.2019','11'
'2892','Badedammen 1','58.9730683','5.7497250','Restavfall','0','1024','23.04.2019','19'
'2978','Badedammen 2','58.9732133','5.7481200','Bio','0','0','23.04.2019','21'
'2981','Badedammen 2','58.9732133','5.7481200','Restavfall','0','1300','23.04.2019','21'
'2857','Badedammen 2','58.9732133','5.7481200','Papir','0','2154','23.04.2019','15'
'2804','Bamsefaret barnehage','58.8986683','5.7265833','Rest-næring','83','1247','23.04.2019','17'
'1295','Bamsefaret barnehage','58.8986683','5.7265833','Papir-næring','19','1156','23.04.2019','17'
'1801','Bjergsted barnehage','58.9750750','5.7179067','Papir-næring','16','1884','23.04.2019','1'
'3609','Bjergsted barnehage','58.9750750','5.7179067','Rest-næring','12','2301','23.04.2019',' '
'2303','Bjergsted park','58.9731667','5.7210750','Bio','82','1029','23.04.2019','19'
'2791','Bjergsted park','58.9731667','5.7210750','Restavfall','478','1012','23.04.2019','21'
'2064','Bjergsted park','58.9731667','5.7210750','Papir','27','1313','18.04.2019','17'
'2324','Bjergsted platå','58.9732900','5.7209100','Restavfall','225','1934','23.04.2019','21'
'363','Bjergsted platå','58.9732900','5.7209100','Glass/metall','56','1703','23.04.2019','17'
'3855','Bjergsted platå','58.9732900','5.7209100','Papir','94','2360','23.04.2019','9'
'39','Bjergsted terrasse','58.9755250','5.7211450','Restavfall','58','2307','23.04.2019','19'
'53','Bjergsted terrasse','58.9755250','5.7211450','Restavfall','203','1126','23.04.2019','17'
'305','Bjergsted terrasse','58.9755250','5.7211450','Papir','19','1403','23.04.2019','17'
'3828','Bjergsted terrasse','58.9755250','5.7211450','Papir','39','2359','23.04.2019',' '
'1579','Bjergsted terrasse','58.9755250','5.7211450','Bio','142','2223','23.04.2019',' '
'1520','Bjergsted trio','58.9778717','5.7175883','Restavfall','164','2360','23.04.2019',' '
'1297','Bjergsted trio','58.9778717','5.7175883','Papir','28','2360','23.04.2019',' '
'2179','Bjergsted trio','58.9778717','5.7175883','Bio','65','2360','12.04.2019',' '
'3221','Bjergsted Vest','58.9768372','5.7161665','Restavfall','160','2046','23.04.2019','27'
'1935','Bjergsted Vest','58.9768372','5.7161665','Papir','38','2360','23.04.2019','1'
'3641','Bjergsted Vest','58.9768372','5.7161665','Bio','53','2341','11.04.2019',' '
'1808','Bjorlandstunet Nærbø','58.6738183','5.6321483','Glass/metall','9','976','23.04.2019','1'
'3549','Bjorlandstunet Nærbø','58.6738183','5.6321483','Papir','577','2360','23.04.2019',' '
'3635','Bjorlandstunet Nærbø','58.6738183','5.6321483','Bio','31','2360','23.04.2019',' '
'3531','Bjorlandstunet Nærbø','58.6738183','5.6321483','Restavfall','118','1871','23.04.2019',' '
'3386','Bjønnbåsen 1, stasj. 1','58.8184700','5.7598915','Bio','196','2223','05.04.2019',' '
'2473','Bjønnbåsen 1, stasj. 1','58.8184700','5.7598915','Papir','64','593','23.04.2019',' '
'2220','Bjønnbåsen 1, stasj. 1','58.8184700','5.7598915','Restavfall','166','889','23.04.2019','19'
'489','Bjønnbåsen 1, stasj. 4','58.8191383','5.7620317','Restavfall','0','0','23.04.2019','17'
'90','Bjønnbåsen 1, stasj. 4','58.8191383','5.7620317','Papir','33','923','23.04.2019','1'
'680','Bjønnbåsen 1, stasj. 4','58.8191383','5.7620317','Bio','71','1471','23.04.2019','17'
'2291','Bjønnbåsen 1, stasj. 5','58.8178917','5.7601583','Papir','35','1247','17.04.2019','21'
'2318','Bjønnbåsen 1, stasj. 5','58.8178917','5.7601583','Restavfall','161','2091','23.04.2019','31'
'2289','Bjønnbåsen 1, stasj. 5','58.8178917','5.7601583','Bio','204','2223','05.04.2019','1'
'1210','Bjønnbåsen 3, stasj. 2','58.8177223','5.7614951','Bio','74','1368','22.04.2019','19'
'1224','Bjønnbåsen 3, stasj. 2','58.8177223','5.7614951','Papir','4','1912','23.04.2019','17'
'1198','Bjønnbåsen 3, stasj. 2','58.8177223','5.7614951','Restavfall','49','859','22.04.2019','17'
'1026','Bjønnbåsen 5-7-9, stasj.3','58.8179800','5.7623100','Restavfall','49','990','23.04.2019','17'
'133','Bjønnbåsen 5-7-9, stasj.3','58.8179800','5.7623100','Bio','74','0','23.04.2019','17'
'1268','Bjønnbåsen 5-7-9, stasj.3','58.8179800','5.7623100','Papir','16','952','23.04.2019','19'
'3520','Bjørn Farmanns gate 25','58.9467900','5.6776533','Restavfall','32','1777','23.04.2019','19'
'3573','Bjørn Farmanns gate 25','58.9467900','5.6776533','Papir','45','1939','23.04.2019','15'
'3605','Bjørn Farmanns gate 25','58.9467900','5.6776533','Bio','14','2266','23.04.2019','13'
'3204','Blidensol - 1','58.8334150','5.7187117','Restavfall','170','2125','23.04.2019','21'
'3205','Blidensol - 1','58.8334150','5.7187117','Papir','39','2046','21.04.2019','21'
'3209','Blidensol - 1','58.8334150','5.7187117','Bio','25','1848','23.04.2019','21'
'2832','Blåbærstien-Bogafjell','58.8119783','5.7401183','Restavfall','41','1220','23.04.2019','21'
'2830','Blåbærstien-Bogafjell','58.8119783','5.7401183','Papir','150','1756','23.04.2019','19'
'2816','Blåbærstien-Bogafjell','58.8119783','5.7401183','Bio','52','520','23.04.2019','19'
'2999','Bogafjell B3','58.8139933','5.7598567','Papir','21','2223','23.04.2019','19'
'3455','Bogafjell B3','58.8139933','5.7598567','Restavfall','98','1966','23.04.2019','17'
'3016','Bogafjell B3','58.8139933','5.7598567','Papir','196','1889','23.04.2019','19'
'2995','Bogafjell B3','58.8139933','5.7598567','Restavfall','112','890','23.04.2019','25'
'967','Bogafjell DC','58.8151344','5.7511585','Papir','24','1319','23.04.2019','17'
'899','Bogafjell DC','58.8151344','5.7511585','Restavfall','122','0','23.04.2019','17'
'1432','Bogafjell DC','58.8151344','5.7511585','Bio','78','2266','23.04.2019','17'
'1436','Bogafjell kirke','58.8202324','5.7471666','Rest-næring','32','1286','23.04.2019','17'
'2214','Bogafjell kirke','58.8202324','5.7471666','Papir-næring','2','0','23.04.2019','19'
'1564','Bogafjell kirke','58.8202324','5.7471666','Bio-næring','3','535','23.04.2019','19'
'1977','Bogafjell miljøstasjon','58.8208400','5.7556600','Glass/metall','0','2302','23.04.2019','17'
'3232','Bogafjell miljøstasjon','58.8208400','5.7556600','Glass/metall','0','1602','23.04.2019','21'
'3227','Bogafjell miljøstasjon','58.8208400','5.7556600','Glass/metall','0','1070','23.04.2019','19'
'3176','Bogafjell miljøstasjon','58.8208400','5.7556600','Glass/metall','0','1640','23.04.2019','21'
'2594','Bogafjellhallen','58.8196067','5.7428483','Rest-næring','58','1637','23.04.2019','21'
'2587','Bogafjellhallen','58.8196067','5.7428483','Papir-næring','1','507','23.04.2019','21'
'2389','Boganesveien-Vågsmyra','58.9187233','5.7237983','Restavfall','157','1242','23.04.2019','23'
'3608','Boganesveien-Vågsmyra','58.9187233','5.7237983','Papir','106','1638','23.04.2019','21'
'2325','Boganesveien-Vågsmyra','58.9187233','5.7237983','Bio','103','1782','23.04.2019','19'
'2949','Bokkaskogen barnehage','58.9596383','5.7212067','Rest-næring','18','1207','23.04.2019','21'
'2947','Bokkaskogen barnehage','58.9596383','5.7212067','Papir-næring','54','1019','23.04.2019','21'
'479','Borgen','58.9744550','5.7171833','Bio','39','0','23.04.2019','17'
'3514','Borgen','58.9744550','5.7171833','Restavfall','270','1724','23.04.2019','19'
'994','Borgen','58.9744550','5.7171833','Papir','7','0','06.04.2019','19'
'1390','Brattebø Gård - 1','58.8222046','5.7595634','Restavfall','156','1146','23.04.2019','19'
'1212','Brattebø Gård - 1','58.8222046','5.7595634','Papir','55','1931','23.04.2019','19'
'2895','Brattebø Gård - 1','58.8222046','5.7595634','Bio','241','2266','23.04.2019',' '
'3829','Brattebø Gård - 2','58.8217964','5.7610135','Restavfall','100','2359','17.04.2019',' '
'1691','Brattebø Gård - 2','58.8217964','5.7610135','Bio','0','2266','16.04.2019',' '
'2086','Brattebø Gård - 2','58.8217964','5.7610135','Papir','19','1148','23.04.2019','1'
'3777','Brattebø Gård - 3','58.8234091','5.7568587','Restavfall','106','2341','17.04.2019',' '
'1846','Brattebø Gård - 3','58.8234091','5.7568587','Papir','29','1523','23.04.2019','19'
'3272','Brattebø Gård - 3','58.8234091','5.7568587','Bio','264','2266','23.04.2019','19'
'3781','Brattebø gård - 4','58.8245583','5.7573767','Restavfall','63','993','23.04.2019',' '
'2058','Brattebø gård - 4','58.8245583','5.7573767','Papir','21','1911','23.04.2019','1'
'2983','Brattebø gård - 4','58.8245583','5.7573767','Bio','67','686','22.04.2019','21'
'3660','Brattebø Gård - 5','58.8253933','5.7579350','Restavfall','57','380','23.04.2019',' '
'2127','Brattebø Gård - 5','58.8253933','5.7579350','Papir','38','1910','23.04.2019','1'
'2793','Brattebø Gård - 5','58.8253933','5.7579350','Bio','91','463','21.04.2019','23'
'2103','Brattebø Gård - 5','58.8253933','5.7579350','Glass/metall','47','2256','22.04.2019','1'
'3233','Brattebø Gård - 6','58.8236500','5.7588283','Restavfall','55','636','23.04.2019','23'
'3213','Brattebø Gård - 6','58.8236500','5.7588283','Papir','50','0','17.04.2019','29'
'3179','Brattebø Gård - 6','58.8236500','5.7588283','Bio','111','757','23.04.2019','21'
'3201','Brattebø Gård - 6','58.8236500','5.7588283','Restavfall','37','2236','23.04.2019','21'
'2251','Brattlandsplassen-Varhaug','58.6196620','5.6370305','Restavfall','240','2360','23.04.2019',' '
'2404','Brattlandsplassen-Varhaug','58.6196620','5.6370305','Papir','78','2099','12.04.2019','17'
'1972','Brattlandsplassen-Varhaug','58.6196620','5.6370305','Bio','289','2065','23.04.2019',' '
'1228','Brattlandsplassen-Varhaug','58.6196620','5.6370305','Glass/metall','82','1502','21.04.2019',' '
'1398','Brattåsveien BRL','58.9431458','5.7373909','Restavfall','158','1843','23.04.2019','17'
'2952','Brattåsveien BRL','58.9431458','5.7373909','Papir','18','897','23.04.2019','17'
'2957','Brattåsveien BRL','58.9431458','5.7373909','Bio','48','1801','23.04.2019','17'
'2643','Bredegården','58.9671222','5.7347397','Papir','79','1326','23.04.2019','21'
'2640','Bredegården','58.9671222','5.7347397','Rest-vask','100','2266','20.04.2019','25'
'3894','Breivik 33','58.9652383','5.7634550','Restavfall','184','20','23.04.2019',' '
'3889','Breivik 33','58.9652383','5.7634550','Glass/metall','98','2274','23.04.2019','19'
'3898','Breivik 33','58.9652383','5.7634550','Papir','53','1566','23.04.2019','18'
'3910','Breivik 33','58.9652383','5.7634550','Bio','76','2341','16.04.2019','10'
'3170','Breivikveien 1','58.9290600','5.8418317','Restavfall','16','1615','23.04.2019','21'
'3007','Breivikveien 1','58.9290600','5.8418317','Glass/metall','19','1810','23.04.2019','21'
'2227','Breivikveien 1','58.9290600','5.8418317','Papir','77','2171','23.04.2019','19'
'1765','Breivikveien 1','58.9290600','5.8418317','Bio','80','2252','23.04.2019','19'
'3560','Britiske skole','58.8976250','5.7343850','Rest-næring','3','2091','23.04.2019','23'
'2440','Britiske skole','58.8976250','5.7343850','Papir-næring','16','2227','23.04.2019','17'
'3278','Bronsekarveien-Sørbøh.','58.8299700','5.7297917','Papir','46','1004','23.04.2019','21'
'2323','Bronsekarveien-Sørbøh.','58.8299700','5.7297917','Restavfall','210','1937','23.04.2019','19'
'1949','Bronsekarveien-Sørbøh.','58.8299700','5.7297917','Glass/metall','84','2215','23.04.2019','19'
'3464','Bronsekarveien-Sørbøh.','58.8299700','5.7297917','Bio','166','1290','23.04.2019','21'
'1350','Brueland barnehage','58.8428803','5.7282982','Rest-næring','16','977','23.04.2019','23'
'1316','Brueland barnehage','58.8428803','5.7282982','Papir-næring','10','615','23.04.2019','23'
'1330','Brueland barnehage','58.8428803','5.7282982','Bio-næring','37','1746','23.04.2019','19'
'3451','Brueland Gård-Kvelluren32','58.8424983','5.7322683','Restavfall','153','2098','23.04.2019','21'
'3452','Brueland Gård-Kvelluren32','58.8424983','5.7322683','Papir','50','2077','23.04.2019','21'
'3453','Brueland Gård-Kvelluren32','58.8424983','5.7322683','Bio','319','1784','23.04.2019','19'
'2279','Brueland miljøstasjon','58.8462533','5.7329283','Glass/metall','0','1776','05.03.2019','25'
'2344','Brueland miljøstasjon','58.8462533','5.7329283','Glass/metall','0','1385','21.04.2019','19'
'2313','Brueland miljøstasjon','58.8462533','5.7329283','Glass/metall','0','38','23.04.2019','21'
'2339','Brueland miljøstasjon','58.8462533','5.7329283','Glass/metall','0','2154','17.04.2019',' '
'2330','Brueland miljøstasjon','58.8462533','5.7329283','Glass/metall','0','1122','08.01.2019','21'
'1489','Brueland miljøstasjon','58.8462533','5.7329283','Glass/metall','0','2154','23.04.2019',' '
'1789','Brusand sentrum',,,'Glass/metall','54','2148','23.04.2019','0'
'3079','Bryne alle - 1','58.7326400','5.6537467','Restavfall','121','1210','23.04.2019','21'
'2687','Bryne alle - 1','58.7326400','5.6537467','Papir','43','1665','23.04.2019','19'
'1861','Bryne alle - 1','58.7326400','5.6537467','Restavfall','69','1260','23.04.2019','19'
'2733','Bryne alle - 1','58.7326400','5.6537467','Bio','239','2266','02.04.2019','1'
'3136','Bryne alle - 2','58.7323250','5.6537700','Restavfall','124','1302','23.04.2019','21'
'3084','Bryne alle - 2','58.7323250','5.6537700','Papir','37','1794','23.04.2019','17'
'3137','Bryne alle - 2','58.7323250','5.6537700','Bio','220','2266','02.04.2019','15'
'3082','Bryne alle - 2','58.7323250','5.6537700','Glass/metall','72','1590','23.04.2019','19'
'3427','Bryne ungdomsskole','58.7334867','5.6419317','Rest-næring','17','983','23.04.2019','15'
'3434','Bryne ungdomsskole','58.7334867','5.6419317','Papir-næring','12','1204','23.04.2019','15'
'3471','Bryne ungdomsskole','58.7334867','5.6419317','Rest-næring','48','1022','22.04.2019','17'
'2823','Brynelunden','58.7375984','5.6492052','Restavfall','65','1521','23.04.2019','19'
'1274','Brynelunden','58.7375984','5.6492052','Restavfall','81','1623','21.04.2019','17'
'2969','Brynelunden','58.7375984','5.6492052','Papir','76','2266','12.04.2019',' '
'2423','Brynelunden','58.7375984','5.6492052','Bio','208','0','28.03.2019',' '
'2567','Buggelandsbakken - 2','58.8133067','5.7570400','Restavfall','53','566','23.04.2019','1'
'1962','Buggelandsbakken - 2','58.8133067','5.7570400','Papir','46','1675','23.04.2019','1'
'2931','Buggelandsbakken - 2','58.8133067','5.7570400','Bio','138','1473','23.04.2019','19'
'2676','Buggelandsskogen','58.8148017','5.7534033','Papir','42','1278','23.04.2019','19'
'2671','Buggelandsskogen','58.8148017','5.7534033','Bio','171','515','23.04.2019','21'
'2644','Buggelandsskogen','58.8148017','5.7534033','Restavfall','62','2137','23.04.2019','21'
'2972','Buggelandsskogen','58.8148017','5.7534033','Restavfall','76','1504','23.04.2019','19'
'1611','Buøy skole','58.9858552','5.7344787','Rest-næring','86','0','23.04.2019','21'
'2335','Buøy skole','58.9858552','5.7344787','Papir-næring','99','2275','19.04.2019','19'
'1467','Byfjordparken','58.9811067','5.7134817','Restavfall','62','730','23.04.2019','17'
'3370','Byfjordparken','58.9811067','5.7134817','Restavfall','49','1326','23.04.2019','17'
'1169','Byfjordparken','58.9811067','5.7134817','Bio','75','1727','23.04.2019','21'
'1437','Byfjordparken','58.9811067','5.7134817','Papir','61','1412','17.04.2019','33'
'2228','Byfjordtunet velforening','58.9898233','5.6948983','Restavfall','15','608','23.04.2019','1'
'2260','Byfjordtunet velforening','58.9898233','5.6948983','Papir','78','615','17.04.2019','21'
'2222','Byfjordtunet velforening','58.9898233','5.6948983','Bio','251','2223','10.04.2019','1'
'3257','Byhagen - 1','58.8519733','5.7292567','Restavfall','120','1974','23.04.2019','19'
'3293','Byhagen - 1','58.8519733','5.7292567','Papir','31','1984','23.04.2019','17'
'3273','Byhagen - 1','58.8519733','5.7292567','Bio','29','2156','23.04.2019','19'
'2603','Byhagen 2','58.8519400','5.7302400','Restavfall','182','621','23.04.2019','23'
'2856','Byhagen 2','58.8519400','5.7302400','Papir','68','1944','23.04.2019','21'
'2600','Byhagen 2','58.8519400','5.7302400','Bio','56','2138','22.04.2019','21'
'2272','Byhagen Næring','58.8520012','5.7301502','Rest-næring','97','761','16.04.2019','23'
'1818','Campus 3','58.9391441','5.7010984','Papir','0','1670','23.04.2019','1'
'1768','Campus 3','58.9391441','5.7010984','Restavfall','0','1860','23.04.2019','1'
'1787','Campus 3','58.9391441','5.7010984','Bio','0','2223','16.04.2019','1'
'1130','Campus II','58.9391817','5.7014267','Papir','0','1184','23.04.2019','17'
'1511','Campus II','58.9391817','5.7014267','Bio','0','2266','26.01.2019','13'
'1196','Campus II','58.9391817','5.7014267','Restavfall','0','615','23.04.2019',' '
'428','Campus Ullandhaug','58.9356194','5.6926818','Restavfall','0','1021','23.04.2019','17'
'765','Campus Ullandhaug','58.9356194','5.6926818','Papir','0','1467','23.04.2019','17'
'1292','Campus Ullandhaug','58.9356194','5.6926818','Bio','1','1766','23.04.2019','19'
'816','Cementen','58.9655733','5.7603017','Papir','53','2074','23.04.2019','23'
'3289','Cementen','58.9655733','5.7603017','Restavfall','134','2321','23.04.2019','15'
'1030','Cementen','58.9655733','5.7603017','Bio','0','2223','01.04.2019','17'
'1766','COOP Klepp Orre','58.7182045','5.5685534','Glass/metall','18','1233','23.04.2019','1'
'1772','COOP Klepp Orre','58.7182045','5.5685534','Papir','9','1341','23.04.2019','1'
'1804','COOP Klepp Orre','58.7182045','5.5685534','Restavfall','43','1833','22.04.2019','1'
'1776','COOP Klepp Orre','58.7182045','5.5685534','Rest-næring','36','920','23.04.2019','19'
'1908','COOP Klepp Orre','58.7182045','5.5685534','Bio','60','2266','22.04.2019','1'
'1104','COOP Kverneland','58.7789450','5.7225733','Restavfall','88','854','23.04.2019','21'
'1171','COOP Kverneland','58.7789450','5.7225733','Glass/metall','12','1643','23.04.2019','17'
'1770','COOP Kverneland','58.7789450','5.7225733','Bio','9','2266','13.04.2019',' '
'3789','COOP Kverneland','58.7789450','5.7225733','Papir','59','411','04.04.2019',' '
'2095','COOP Øksnevad-Klepp','58.7855350','5.7062067','Rest-næring','10','1199','23.04.2019','1'
'3558','Djupamyra','58.8965950','5.7214383','Restavfall','97','507','23.04.2019','23'
'1697','Djupamyra','58.8965950','5.7214383','Restavfall','33','1381','23.04.2019','19'
'1746','Djupamyra','58.8965950','5.7214383','Papir','24','1211','23.04.2019','21'
'1721','Djupamyra','58.8965950','5.7214383','Papir','25','1244','23.04.2019','19'
'1470','Djupamyra','58.8965950','5.7214383','Bio','80','60','17.04.2019',' '
'2256','DPS Helse V-Adj.Haugl.gt','58.9600017','5.6921917','Restavfall','5','703','23.04.2019','23'
'2266','DPS Helse V-Adj.Haugl.gt','58.9600017','5.6921917','Restavfall','28','1324','23.04.2019','21'
